city,country,quality_of_life_index,safety_index,healthcare_index,climate_index,purchasing_power_index,cost_of_living_index,traffic_commute_index,pollution_index,green_space_index,walkability_index,accessibility_index,comfort_index,latitude,longitude,public_space_quality
Bangkok,Thailand,51.2,55.11,53.15,53.8,45.03,45.94,49.79,22.11,62.89,87.59,67.11,52.95,27.60233,-0.96387,Moderate
Karachi,Pakistan,54.87,83.17,47.82,82.34,46.79,38.86,31.95,73.88,88.06,59.85,64.26,71.36,45.1928,-63.24172,Moderate
Toronto,Canada,44.01,35.28,46.68,88.51,69.57,116.1,31.74,66.58,29.19,83.93,32.48,78.83,52.02224,30.99057,Moderate
Doha,Qatar,57.13,55.01,56.68,61.03,50.51,83.94,39.3,25.23,60.05,81.09,69.99,74.1,27.35981,119.64165,Moderate
Sydney,Australia,55.25,58.89,45.56,89.6,34.59,95.58,74.93,39.34,85.96,53.74,83.82,42.9,30.21567,73.24368,Moderate
Sydney,Australia,42.84,67.24,78.07,57.64,40.91,58.38,18.3,18.46,50.75,41.11,40.24,62.11,24.44246,51.60305,Moderate
Doha,Qatar,58.83,90.19,43.43,92.84,38.99,65.38,49.71,60.26,56.15,53.43,68.63,81.46,45.37149,29.42119,Moderate
Chicago,USA,66.2,55.78,68.02,40.36,117.44,51.32,19.95,19.71,25.28,82.84,68.58,60.92,55.92244,4.3062,Good
London,UK,46.51,55.82,94.82,76.22,97.13,38.73,24.27,88.87,40.86,40.93,40.67,64.88,48.14388,-75.56058,Moderate
Zurich,Switzerland,64.16,79.25,84.77,64.63,116.94,46.11,41.37,72.45,44.34,61.71,38.03,80.12,59.35344,112.09827,Good
Copenhagen,Denmark,63.26,62.13,73.84,58.26,66.78,101.78,45.63,41.22,90.88,81.43,93.7,72.98,26.26921,-59.13796,Good
Sydney,Australia,35.95,48.48,56.84,72.96,51.45,90.98,30.53,56.29,41.2,49.74,55.59,56.61,56.50804,-100.80315,Poor
Berlin,Germany,53.55,62.15,74.31,77.23,100.84,79.22,33.99,82.91,54.57,69.95,44.78,88.2,53.30646,73.75402,Moderate
Sydney,Australia,44.7,43.45,68.99,35.26,55.99,72.76,20.22,54.33,70.35,42.19,41.14,40.57,35.31269,-78.46188,Moderate
Karachi,Pakistan,40.0,45.58,63.43,45.02,53.44,113.02,33.19,23.96,32.16,32.65,73.39,94.71,59.04696,-26.44756,Poor
Sydney,Australia,48.34,64.9,47.19,77.78,47.09,36.55,72.99,40.3,56.48,80.61,69.61,37.73,34.36576,-117.50449,Moderate
Sydney,Australia,47.61,60.14,88.76,74.98,37.32,55.25,71.68,77.45,75.39,31.93,71.83,30.97,56.01497,-88.677,Moderate
Zurich,Switzerland,58.97,89.89,64.74,92.96,49.36,61.49,35.09,61.54,85.01,44.0,35.72,87.85,55.70695,-79.10104,Moderate
Zurich,Switzerland,55.49,56.74,50.7,80.66,58.76,100.42,49.25,62.06,66.97,84.86,88.08,45.92,51.27567,-110.58132,Moderate
Bangkok,Thailand,52.0,69.84,60.23,92.05,89.03,119.33,69.58,79.35,70.18,49.25,55.3,77.43,44.28494,49.01409,Moderate
Lahore,Pakistan,53.54,72.94,62.78,77.15,30.94,51.66,15.37,81.52,29.47,93.11,50.37,82.72,28.3201,96.80707,Moderate
Berlin,Germany,50.14,35.79,85.51,52.88,45.0,108.69,63.64,83.58,90.93,93.58,60.05,85.83,43.15098,-26.07142,Moderate
Vienna,Austria,52.34,74.81,80.35,41.32,101.86,104.76,71.9,17.59,29.94,43.78,55.35,94.45,36.84467,106.76277,Moderate
Vienna,Austria,48.55,45.68,82.31,81.91,38.96,50.22,20.48,53.53,78.1,27.87,86.13,49.11,52.51981,-68.46316,Moderate
Istanbul,Turkey,62.64,92.66,40.61,73.65,57.55,65.94,24.69,69.24,39.86,74.35,90.4,76.17,51.29265,-38.77154,Good
Zurich,Switzerland,42.5,43.92,62.89,37.89,107.14,66.87,72.64,70.55,90.02,56.57,49.72,37.5,56.78205,-85.0547,Moderate
Kuala Lumpur,Malaysia,50.53,59.88,66.47,56.6,39.72,118.04,47.25,58.54,74.0,32.05,86.16,56.44,24.53389,39.44819,Moderate
Chicago,USA,58.68,40.12,41.06,92.41,32.86,46.28,15.85,23.34,76.54,74.53,80.8,85.12,53.12772,-13.73456,Moderate
Paris,France,48.87,94.81,54.29,65.02,71.03,101.92,30.46,73.79,36.43,27.18,90.5,53.9,57.78463,37.52009,Moderate
Lahore,Pakistan,50.76,65.13,81.82,60.96,53.73,60.08,42.0,67.61,53.23,85.91,45.97,68.42,52.41482,76.84385,Moderate
Amsterdam,Netherlands,47.27,70.72,47.54,62.46,78.52,95.78,56.57,16.89,66.34,34.71,67.5,62.75,28.687,19.6113,Moderate
Lahore,Pakistan,39.82,39.02,69.44,47.53,101.36,67.8,58.99,47.1,77.75,33.91,47.85,71.99,26.92605,41.32204,Poor
New York,USA,43.27,80.0,51.84,57.12,38.03,82.05,74.73,23.92,27.8,37.3,83.57,93.24,24.75043,122.84133,Moderate
Karachi,Pakistan,48.79,47.59,40.67,57.19,80.17,104.94,32.25,37.0,92.18,92.22,30.35,33.62,46.63483,-45.74796,Moderate
Sydney,Australia,63.26,88.88,53.27,38.14,73.02,102.37,47.29,11.45,86.77,73.52,66.71,67.31,46.66822,-29.82156,Good
Paris,France,55.84,47.31,93.67,81.05,38.69,107.98,47.0,42.03,40.28,81.1,52.05,86.1,59.52889,65.19139,Moderate
Karachi,Pakistan,52.56,46.44,84.08,59.99,84.28,35.37,39.34,53.99,81.71,52.83,50.97,61.29,38.32955,36.99596,Moderate
Berlin,Germany,43.76,37.19,92.78,84.33,51.0,92.28,25.15,59.57,58.87,48.54,71.92,35.1,35.94863,-77.68878,Moderate
Doha,Qatar,46.21,63.32,66.83,86.02,71.34,42.6,73.65,63.08,54.64,41.41,85.35,66.44,46.4793,-25.32096,Moderate
Zurich,Switzerland,40.91,68.89,46.04,47.72,32.82,67.42,66.2,76.9,43.58,58.65,69.6,51.58,53.72191,-1.02293,Moderate
Paris,France,58.2,38.94,70.14,74.44,68.66,79.37,44.9,27.24,63.57,63.63,85.46,40.07,57.72386,-13.86169,Moderate
Bangkok,Thailand,65.84,81.53,64.99,63.34,54.11,66.25,51.19,19.64,74.74,69.22,47.2,85.19,52.91247,-77.75718,Good
New York,USA,56.75,62.2,86.44,87.81,103.13,76.77,28.64,78.12,50.82,43.0,63.77,63.9,39.36026,119.97397,Moderate
Dubai,UAE,56.55,66.46,45.39,47.94,30.41,119.69,47.63,22.53,67.19,91.41,59.28,90.66,46.85691,77.01447,Moderate
Dubai,UAE,52.85,61.45,66.85,75.67,64.77,42.17,56.7,87.98,72.45,36.88,30.76,82.39,54.82678,2.5593,Moderate
Vienna,Austria,55.94,59.05,48.25,71.47,68.55,90.79,45.91,77.4,73.33,92.6,66.19,75.04,41.66195,55.21617,Moderate
Toronto,Canada,41.07,68.58,57.86,52.72,93.88,65.64,74.42,50.07,23.9,26.04,73.0,30.33,31.80072,112.77991,Moderate
Paris,France,48.63,44.31,80.55,43.2,79.56,41.97,51.68,88.51,84.48,58.68,68.47,57.81,30.11004,-88.91385,Moderate
Dubai,UAE,48.17,45.92,66.18,74.1,88.39,44.29,37.26,17.79,54.37,48.34,77.86,42.84,24.00568,-58.65114,Moderate
Copenhagen,Denmark,54.88,86.71,60.67,79.32,98.82,115.43,61.33,34.25,39.68,56.44,67.14,89.2,49.85657,18.81583,Moderate
Doha,Qatar,49.04,91.77,61.7,53.94,106.91,109.16,25.23,61.06,38.13,64.95,34.34,41.35,27.9995,86.73775,Moderate
Amsterdam,Netherlands,45.36,57.4,65.27,73.69,54.82,111.63,38.07,38.0,56.23,55.49,37.57,48.59,32.77821,-115.39245,Moderate
Istanbul,Turkey,59.19,51.24,83.18,58.71,76.11,119.24,35.82,84.27,86.51,54.04,68.77,63.59,34.72355,135.76481,Moderate
Copenhagen,Denmark,62.97,73.64,89.06,77.79,104.81,48.75,40.91,15.25,48.38,76.29,47.87,47.12,44.17367,-4.44975,Good
Istanbul,Turkey,59.55,59.52,92.54,46.95,119.0,61.99,61.91,53.95,76.23,73.01,35.18,43.64,38.32646,-29.80375,Moderate
Doha,Qatar,49.88,36.52,83.28,88.41,109.5,90.23,44.05,57.27,27.26,83.33,57.92,68.94,48.28826,-47.42802,Moderate
London,UK,36.48,44.37,57.35,52.24,60.29,73.54,62.64,62.22,55.7,42.5,66.03,35.78,26.00299,-78.79547,Poor
Doha,Qatar,52.14,77.96,77.85,57.07,43.54,67.66,49.59,30.45,94.38,67.67,51.37,33.78,28.46181,84.76709,Moderate
Toronto,Canada,55.13,74.54,64.07,38.49,71.49,62.2,35.52,39.17,77.78,65.96,76.83,54.2,41.97161,128.18475,Moderate
Vienna,Austria,40.6,36.63,54.01,41.69,95.46,83.44,63.6,77.49,35.79,50.88,71.85,76.84,36.13073,-15.38414,Moderate
Barcelona,Spain,53.82,48.32,86.25,65.95,71.79,81.8,29.3,25.6,57.61,59.02,51.63,66.06,34.64928,127.39148,Moderate
London,UK,44.83,48.86,42.11,51.06,70.9,44.53,28.46,76.15,37.52,46.96,79.07,57.49,26.41301,93.30637,Moderate
Melbourne,Australia,58.69,75.31,89.6,85.13,104.63,72.46,45.27,55.01,50.72,34.93,72.17,66.77,56.24589,2.47855,Moderate
Barcelona,Spain,40.95,36.18,65.38,35.88,59.33,79.81,30.65,70.98,78.51,39.97,71.43,53.75,48.90547,53.61694,Moderate
Vienna,Austria,62.27,41.25,75.05,57.75,106.68,81.33,15.55,67.09,77.84,32.39,65.97,90.85,28.37825,-9.72919,Good
New York,USA,49.12,82.99,76.26,55.24,63.65,48.91,53.9,26.6,37.11,72.81,30.74,33.57,26.34165,23.0617,Moderate
Melbourne,Australia,59.73,45.71,89.23,36.16,56.18,96.8,45.67,55.51,89.17,71.25,75.27,73.77,59.09541,-109.61772,Moderate
Lahore,Pakistan,56.74,74.16,75.02,42.46,68.13,32.27,41.73,79.42,64.44,91.54,54.44,87.93,48.52221,59.50982,Moderate
Vancouver,Canada,59.88,49.29,73.77,59.82,97.43,61.93,73.02,44.57,48.49,76.08,91.27,82.25,39.02842,-111.00147,Moderate
Copenhagen,Denmark,36.96,40.97,43.67,64.57,36.97,100.22,49.27,87.33,57.65,28.64,83.17,41.96,49.26232,91.52751,Poor
London,UK,50.61,49.59,68.51,59.26,43.66,80.75,66.81,46.18,65.38,86.9,68.2,49.24,51.22794,93.61094,Moderate
Dubai,UAE,55.57,78.34,48.26,66.86,115.39,53.5,23.37,21.42,61.99,85.39,46.39,76.61,52.07864,-62.17452,Moderate
Dubai,UAE,50.05,86.34,80.56,70.71,41.67,92.55,49.15,41.15,56.48,56.03,43.24,35.48,41.20358,-39.22936,Moderate
Doha,Qatar,54.72,84.81,68.17,35.6,78.93,81.07,67.08,86.14,57.87,66.01,52.13,82.77,39.47578,2.54725,Moderate
Sydney,Australia,56.93,58.83,77.41,62.85,80.03,101.66,49.99,35.58,33.23,93.33,60.98,76.73,24.39701,33.11567,Moderate
Zurich,Switzerland,54.84,75.09,42.29,92.81,71.51,96.15,58.08,79.45,80.95,62.26,49.24,77.42,57.35606,-48.85128,Moderate
Vienna,Austria,39.78,47.3,44.66,66.14,86.25,84.91,37.32,80.5,60.63,88.37,63.47,36.52,45.71908,32.0089,Poor
Dubai,UAE,40.87,52.59,79.4,75.65,46.83,73.94,20.55,38.01,29.83,30.81,40.75,76.65,31.31354,-46.08643,Moderate
Chicago,USA,64.57,88.78,43.96,53.71,77.5,41.99,42.47,16.66,77.46,38.37,93.55,74.19,57.10572,-110.29496,Good
Berlin,Germany,49.73,35.78,43.92,81.44,60.36,53.52,38.67,67.96,89.93,55.85,37.02,84.01,56.93755,-124.3302,Moderate
Berlin,Germany,59.17,40.13,40.67,81.38,87.86,67.72,67.02,34.92,91.05,65.93,90.58,32.7,59.61063,-98.19497,Moderate
Lahore,Pakistan,49.09,47.47,92.61,66.28,38.42,83.94,29.64,72.63,47.68,82.14,89.38,31.5,55.46604,84.94644,Moderate
Toronto,Canada,52.0,36.59,80.56,93.56,79.23,76.23,73.0,45.41,30.16,94.18,64.15,54.25,59.92024,129.7793,Moderate
Toronto,Canada,40.88,45.89,59.43,42.53,42.6,55.94,72.49,48.82,58.88,52.22,77.12,39.67,32.8087,-11.85396,Moderate
Copenhagen,Denmark,34.74,69.98,56.31,36.02,51.47,30.58,29.86,72.23,28.45,28.32,58.34,66.29,54.32099,10.86125,Poor
Istanbul,Turkey,54.4,60.29,59.23,81.21,45.78,74.66,35.88,40.59,90.05,81.08,70.95,89.63,53.62902,-86.08524,Moderate
Dubai,UAE,54.35,88.56,82.61,83.43,42.37,55.71,68.73,45.45,33.77,67.31,52.14,55.45,32.31385,21.02331,Moderate
Dubai,UAE,50.64,84.05,76.38,42.21,103.44,96.11,73.0,40.1,38.96,38.9,49.58,84.92,27.54375,-86.66645,Moderate
Copenhagen,Denmark,42.21,55.51,50.19,50.93,52.14,32.16,41.61,39.39,50.5,59.64,67.58,30.02,59.25914,36.9718,Moderate
Doha,Qatar,40.47,50.57,49.58,36.05,113.08,82.63,34.26,52.08,48.74,76.96,62.38,40.95,34.65688,122.31355,Moderate
Karachi,Pakistan,52.79,57.78,45.41,52.6,117.14,114.73,46.57,74.7,79.6,78.93,67.67,31.98,55.3521,-73.13989,Moderate
Bangkok,Thailand,53.63,70.42,76.32,81.39,79.27,45.7,56.27,38.94,54.22,59.97,48.63,51.33,24.14858,77.60939,Moderate
Karachi,Pakistan,47.78,51.08,82.04,66.08,38.59,72.45,31.41,51.94,32.81,46.37,53.85,89.03,24.75689,-118.77186,Moderate
Vienna,Austria,52.78,72.45,54.58,55.89,60.58,38.23,59.19,63.66,40.04,93.16,35.45,36.3,40.77137,-25.49323,Moderate
Karachi,Pakistan,43.27,59.56,41.15,57.3,100.78,86.31,18.1,31.56,58.18,71.44,33.4,69.42,32.59373,-95.65165,Moderate
Doha,Qatar,39.43,68.12,44.52,35.08,59.9,79.55,17.96,32.2,31.06,53.58,46.47,59.35,48.83429,-31.59401,Poor
New York,USA,45.58,61.17,93.23,52.99,33.27,66.66,38.18,84.67,65.87,44.63,34.83,91.0,44.36032,-79.01272,Moderate
Sydney,Australia,52.12,52.67,56.25,73.79,77.89,76.92,36.21,67.88,62.43,76.18,36.75,37.96,26.78949,-26.07418,Moderate
Barcelona,Spain,57.19,91.91,82.31,93.45,105.29,110.69,33.94,56.17,73.6,41.95,82.84,43.78,29.85462,-14.35646,Moderate
Amsterdam,Netherlands,63.37,80.82,74.36,85.82,100.61,47.67,44.46,61.82,90.33,37.02,32.53,31.92,37.96977,-45.34335,Good
Paris,France,55.14,43.41,61.01,36.42,41.64,32.03,34.24,12.34,88.42,62.09,72.83,58.21,30.68175,49.00482,Moderate
Barcelona,Spain,56.78,87.11,51.31,88.91,88.91,107.55,26.54,59.45,90.96,45.3,47.72,48.06,52.52,118.49579,Moderate
Doha,Qatar,52.4,64.25,46.68,81.99,45.95,81.94,33.57,50.76,38.35,69.02,86.65,86.54,38.97853,-18.84223,Moderate
Copenhagen,Denmark,43.75,88.67,73.83,81.82,45.73,110.16,73.49,53.66,29.87,33.26,61.52,69.32,27.36355,-74.02906,Moderate
Dubai,UAE,63.65,82.99,82.6,62.48,108.04,83.73,39.67,38.75,42.67,70.85,49.86,69.92,41.43634,-53.25847,Good
Copenhagen,Denmark,51.08,60.51,75.41,58.88,48.72,102.91,41.68,16.52,87.13,44.83,63.65,64.57,27.27017,101.31022,Moderate
Melbourne,Australia,45.32,36.35,69.17,53.17,50.01,68.67,49.59,25.47,92.9,25.02,54.83,35.97,28.64174,26.48453,Moderate
Tokyo,Japan,33.11,51.12,42.31,38.94,25.06,97.49,74.0,86.06,84.45,33.89,66.68,58.93,32.62595,-4.42208,Poor
Melbourne,Australia,54.12,67.5,93.27,48.69,107.71,112.17,29.5,42.7,28.25,90.35,37.44,94.97,54.943,-85.34627,Moderate
Zurich,Switzerland,81.03,73.01,83.93,49.8,100.3,81.49,55.88,47.33,91.06,85.71,94.8,84.29,57.28605,-5.82226,Excellent
Bangkok,Thailand,53.13,50.47,56.11,64.04,84.6,46.27,57.96,14.22,51.75,41.35,57.66,88.07,53.74528,-51.19962,Moderate
Copenhagen,Denmark,59.25,43.36,93.9,79.85,96.28,54.19,51.44,13.01,20.7,79.49,52.63,83.51,36.02678,124.93823,Moderate
Dubai,UAE,58.85,85.1,73.1,63.43,39.44,47.88,20.31,67.37,53.18,67.6,76.16,36.7,33.80807,109.27858,Moderate
Toronto,Canada,45.62,94.06,72.03,38.47,68.54,52.22,55.61,53.05,23.46,92.96,53.65,44.78,43.7696,-102.76583,Moderate
Amsterdam,Netherlands,63.96,66.54,81.14,92.47,58.37,57.58,18.85,50.7,60.79,51.15,84.16,30.2,49.98671,11.91317,Good
Vienna,Austria,40.0,45.3,84.65,91.56,33.91,79.96,50.77,29.45,45.39,72.7,59.53,49.73,59.76142,-65.35954,Poor
Amsterdam,Netherlands,40.7,51.34,76.11,82.11,71.18,82.92,59.37,69.58,55.51,29.45,76.77,37.06,28.73655,-16.14407,Moderate
Vienna,Austria,50.19,36.1,47.05,94.48,112.47,68.38,27.66,23.46,65.99,52.74,36.98,60.73,25.77451,107.36472,Moderate
Tokyo,Japan,68.26,89.86,58.6,67.67,28.81,85.39,65.5,25.19,85.16,92.47,85.0,74.01,48.99681,14.79135,Good
Kuala Lumpur,Malaysia,63.45,42.07,91.04,92.77,52.69,37.34,16.82,46.86,69.64,62.73,77.82,86.84,53.96013,-36.43295,Good
Dubai,UAE,44.12,69.59,52.35,39.54,44.72,37.9,65.63,32.9,52.55,45.15,43.76,78.7,54.46856,-69.90959,Moderate
Doha,Qatar,49.74,51.44,60.47,56.94,47.62,45.46,42.62,29.8,81.46,33.42,39.44,91.01,48.42469,87.08609,Moderate
Karachi,Pakistan,52.47,68.25,63.76,48.52,111.3,76.63,28.06,61.62,87.92,74.25,50.56,33.5,58.34457,40.49727,Moderate
Barcelona,Spain,44.24,74.09,64.17,46.75,69.47,49.26,23.03,62.08,28.98,70.14,93.44,30.79,42.39617,-0.96265,Moderate
London,UK,51.68,84.78,73.71,43.45,69.3,55.5,72.2,75.96,59.89,51.18,46.69,72.99,56.89733,-67.36665,Moderate
Copenhagen,Denmark,60.48,47.39,91.87,72.34,97.25,66.03,19.36,43.42,41.34,91.57,59.65,48.81,58.84124,-36.42471,Good
Sydney,Australia,38.88,35.66,53.24,81.88,39.68,103.07,26.95,15.85,23.53,26.55,31.95,46.48,54.49767,129.35851,Poor
Vienna,Austria,45.49,43.21,46.68,69.7,71.29,31.25,35.87,31.89,70.14,46.26,55.82,51.51,35.15131,12.82383,Moderate
Dubai,UAE,57.4,89.0,50.86,43.82,65.85,88.44,52.21,88.4,84.71,89.47,67.14,47.54,31.06376,-18.81469,Moderate
Chicago,USA,56.6,87.43,88.78,83.67,81.71,90.2,47.69,57.7,32.22,47.47,91.95,63.24,43.73232,13.17684,Moderate
Istanbul,Turkey,63.57,70.84,75.52,73.16,119.96,101.88,22.54,66.78,80.93,42.66,63.59,58.61,40.30853,81.43195,Good
Bangkok,Thailand,67.85,71.03,55.72,58.29,98.1,113.95,32.38,10.59,84.0,62.4,83.24,63.31,55.5993,-34.87113,Good
Lahore,Pakistan,69.6,74.9,84.88,75.45,62.8,31.81,29.33,51.46,88.58,82.67,65.56,73.73,27.60114,-77.64288,Good
Bangkok,Thailand,46.0,45.52,87.38,50.59,103.62,43.84,27.81,13.0,39.9,32.22,32.65,55.16,33.27864,30.00807,Moderate
Tokyo,Japan,64.03,89.86,86.56,55.71,41.22,109.76,39.67,55.54,87.8,91.01,50.48,46.33,51.06476,51.27909,Good
Paris,France,50.8,60.13,90.54,90.05,27.89,71.27,57.24,83.66,44.05,80.66,67.41,40.8,27.41952,63.87027,Moderate
Paris,France,40.41,57.99,53.87,52.43,44.42,80.81,28.05,87.47,61.43,37.69,91.79,52.72,35.54752,108.72671,Moderate
Singapore,Singapore,48.19,66.14,81.53,63.2,57.34,89.67,37.0,53.24,23.79,74.84,85.84,78.22,37.93759,-26.63886,Moderate
Istanbul,Turkey,41.51,37.82,65.33,88.41,73.51,91.12,38.46,46.66,23.29,51.95,44.84,79.19,46.41338,-105.03095,Moderate
Bangkok,Thailand,52.61,44.98,86.31,77.46,83.44,113.86,73.59,85.6,74.03,53.16,44.31,73.35,29.69278,128.96237,Moderate
Barcelona,Spain,54.42,79.28,80.07,38.73,111.51,119.73,72.28,63.89,53.34,79.83,43.08,45.21,54.98176,-9.72184,Moderate
Zurich,Switzerland,50.03,39.97,82.7,43.84,73.44,94.81,63.01,15.19,39.22,92.39,89.96,68.23,40.11152,40.16324,Moderate
Kuala Lumpur,Malaysia,44.79,71.19,76.09,35.47,72.62,55.85,29.5,47.26,34.28,33.87,85.42,67.09,57.01278,51.57091,Moderate
Vienna,Austria,55.72,49.72,49.76,72.86,29.77,109.18,19.08,29.22,70.25,54.44,80.37,61.48,40.84332,19.82613,Moderate
Seoul,South Korea,38.95,58.36,69.98,61.86,28.32,34.43,34.01,47.58,20.03,58.67,55.53,65.75,33.90145,-70.60675,Poor
Vienna,Austria,58.19,52.32,94.16,43.06,77.36,50.8,31.01,46.44,80.44,51.34,62.78,61.97,29.10584,75.11291,Moderate
Berlin,Germany,45.09,56.34,91.56,92.48,66.63,110.76,45.36,56.57,25.94,50.42,60.18,66.75,24.13482,87.99427,Moderate
Dubai,UAE,53.12,78.14,42.37,66.78,104.72,53.06,61.66,38.54,34.36,28.66,46.47,76.51,43.15767,21.53853,Moderate
Istanbul,Turkey,40.83,52.83,49.06,49.51,40.26,49.86,66.5,23.14,48.97,72.99,62.83,37.13,27.85764,4.46871,Moderate
Amsterdam,Netherlands,48.53,68.98,47.25,65.04,27.37,42.43,65.69,50.3,56.36,55.54,31.98,78.73,38.1022,-94.80638,Moderate
Copenhagen,Denmark,41.65,63.56,79.93,75.78,67.66,107.32,36.58,76.42,46.62,38.64,38.57,38.83,45.21378,-102.75281,Moderate
Sydney,Australia,51.68,74.82,84.98,39.57,47.56,75.01,56.23,63.12,44.05,82.12,87.63,34.33,33.92469,-35.01532,Moderate
Sydney,Australia,57.51,91.21,51.74,51.48,29.71,90.74,33.77,37.07,92.29,81.18,78.86,93.45,30.30807,-42.62577,Moderate
Chicago,USA,52.82,78.95,67.82,83.42,93.84,51.52,18.65,84.84,68.12,59.05,57.49,92.2,51.88998,127.71896,Moderate
Tokyo,Japan,31.9,47.9,86.24,62.58,35.6,98.22,57.09,82.98,21.76,45.89,63.61,33.93,58.08448,82.66003,Poor
Kuala Lumpur,Malaysia,53.44,36.87,80.3,67.79,82.79,98.4,15.59,26.75,52.26,69.67,54.05,58.81,27.61586,49.87994,Moderate
Paris,France,50.45,50.74,69.82,60.97,51.7,58.13,39.55,13.15,85.63,45.17,78.15,42.11,29.60125,12.17674,Moderate
Copenhagen,Denmark,40.61,70.7,72.47,37.63,41.48,66.96,34.76,69.3,42.61,41.52,80.97,61.55,58.56046,-80.6476,Moderate
Toronto,Canada,46.04,38.09,67.96,44.94,61.08,48.87,56.6,76.21,27.09,76.14,79.61,83.96,25.36023,134.29102,Moderate
Berlin,Germany,51.82,64.78,56.37,61.73,101.14,117.89,60.97,87.43,76.88,27.82,76.97,91.79,59.19476,-25.61421,Moderate
Karachi,Pakistan,43.71,70.81,71.08,47.55,62.25,88.1,33.25,81.19,65.45,31.63,43.29,71.23,24.1672,-96.66472,Moderate
Sydney,Australia,44.2,55.05,77.89,38.0,96.32,114.11,63.7,58.04,62.77,25.48,51.97,53.0,55.45207,5.85671,Moderate
Tokyo,Japan,45.22,81.25,88.03,85.62,36.92,57.3,32.64,52.4,24.02,35.71,60.54,69.22,35.06371,106.60947,Moderate
Kuala Lumpur,Malaysia,44.4,41.4,75.0,93.87,98.41,100.37,41.78,12.23,30.54,29.83,51.5,50.28,57.7892,110.13212,Moderate
Copenhagen,Denmark,66.88,39.51,81.86,82.59,47.51,98.93,58.62,29.73,66.69,94.71,79.07,89.14,35.41003,-122.09403,Good
Vienna,Austria,50.59,78.69,48.8,86.23,89.35,92.25,56.58,46.77,35.59,45.22,51.41,86.58,47.55503,109.86837,Moderate
Doha,Qatar,40.87,64.73,65.39,49.52,78.75,116.91,74.24,60.28,57.81,35.45,38.99,66.29,26.88117,-53.05668,Moderate
Kuala Lumpur,Malaysia,63.5,76.3,40.51,92.64,113.27,65.42,28.51,54.58,60.87,41.87,55.94,51.11,32.72387,-114.67232,Good
Lahore,Pakistan,44.44,61.09,53.57,46.82,61.8,41.76,54.74,69.41,41.26,90.53,93.69,49.07,51.85246,99.66442,Moderate
Vienna,Austria,54.74,49.78,79.96,92.09,31.29,90.45,51.58,32.38,91.13,61.41,44.68,32.17,43.03269,103.92469,Moderate
Copenhagen,Denmark,67.59,84.15,94.55,94.69,26.82,95.64,69.91,55.2,83.18,50.54,69.79,83.03,57.40689,33.00124,Good
Melbourne,Australia,65.29,82.96,45.45,77.7,103.55,81.76,24.38,17.05,74.18,86.14,58.14,59.27,39.43505,27.22495,Good
Vancouver,Canada,50.38,76.68,62.08,93.87,74.85,48.61,60.11,43.09,25.85,52.65,34.62,51.13,55.31325,90.47687,Moderate
Bangkok,Thailand,41.47,51.33,84.0,69.17,98.65,75.4,49.1,70.01,27.96,48.45,61.71,60.62,40.1624,83.37203,Moderate
Copenhagen,Denmark,45.88,70.41,51.22,50.57,47.27,58.1,31.48,65.47,56.96,39.51,75.64,83.22,59.25294,110.87795,Moderate
Barcelona,Spain,39.98,56.66,70.53,61.22,57.78,68.47,43.47,89.25,32.05,51.45,63.36,38.1,58.55404,21.47807,Poor
Tokyo,Japan,60.73,40.49,80.32,70.61,27.86,88.07,35.03,32.23,93.37,47.17,86.69,85.75,35.84892,131.42648,Good
Karachi,Pakistan,60.38,90.04,73.88,39.38,116.34,97.07,49.76,49.86,31.89,72.41,48.78,88.34,55.89325,138.97891,Good
Melbourne,Australia,52.76,43.21,50.34,72.34,88.45,50.9,68.34,36.36,56.56,45.27,35.61,91.54,54.51401,-94.11568,Moderate
Seoul,South Korea,64.51,92.01,59.55,93.87,113.65,66.48,49.16,45.25,47.31,65.4,90.88,55.84,31.58449,100.1291,Good
Bangkok,Thailand,46.77,61.76,83.11,46.41,50.22,54.22,52.9,78.56,67.95,29.61,54.58,44.11,46.47445,7.4529,Moderate
Lahore,Pakistan,42.32,46.11,70.48,82.56,83.09,47.88,46.12,64.74,29.68,38.39,67.47,54.29,26.61656,-22.29492,Moderate
Zurich,Switzerland,54.15,67.51,40.29,89.47,89.46,100.5,18.07,80.6,52.27,53.52,81.48,51.64,54.12159,37.46416,Moderate
Vancouver,Canada,60.28,87.38,81.85,91.62,55.17,111.83,28.97,26.28,40.6,90.59,51.08,41.45,30.28365,-110.16913,Good
Zurich,Switzerland,62.28,78.93,41.94,92.61,105.57,63.32,44.52,79.87,86.58,51.41,76.55,69.47,26.54933,9.2122,Good
Sydney,Australia,58.97,83.39,81.02,66.29,114.98,97.62,33.61,14.78,23.04,71.49,38.8,60.98,38.40789,105.786,Moderate
Barcelona,Spain,51.53,74.53,51.14,93.64,109.06,110.73,25.91,81.09,88.53,42.86,48.93,86.27,44.7692,-68.4327,Moderate
Vienna,Austria,50.9,76.54,92.69,80.44,95.21,106.15,45.25,36.33,82.47,33.89,39.41,32.09,54.77701,-12.00668,Moderate
Toronto,Canada,51.87,85.95,60.24,44.7,51.36,46.45,34.37,35.17,42.32,29.1,82.73,71.85,59.07273,123.96244,Moderate
New York,USA,40.29,49.98,57.98,63.61,51.75,116.07,30.49,50.97,79.2,46.38,44.47,79.59,39.82173,-11.43058,Moderate
